CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,small1,small5,small10,small25,small50,large1,large5,large10,large25,large50,B201_01,B205_01,B206_01,B202,B207,B208,B209,SD01,SD02_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
282,,,qnr2,interview,2024-06-04 17:35:06,18.75,18.75,18.75,-38.75,-46.25,281.25,281.25,206.25,-806.25,-806.25,50,20,35,5,4,4,5,1,30,1,93,289,73,124,5,3,588,,2024-06-04 17:44:54,1,0,7,7,0,0,1.47
290,,,qnr2,interview,2024-06-04 18:03:02,18.75,18.75,18.75,-31.25,-38.75,281.25,281.25,281.25,-506.25,-506.25,15,38,30,3,4,4,5,3,30,3,22,125,6,51,6,10,223,,2024-06-04 18:06:45,1,0,7,7,0,0,2.03
292,,,qnr2,interview,2024-06-04 18:27:20,18.75,11.25,-3.75,-21.25,-36.25,281.25,131.25,168.75,-18.75,-318.75,50,50,50,5,5,5,5,1,30,34,182,495,20,72,7,29,793,,2024-06-04 18:41:19,1,0,7,7,0,0,0.76
293,,,qnr2,interview,2024-06-04 18:31:29,-18.75,-18.75,-11.25,-26.25,-31.25,-318.75,-581.25,-318.75,-318.75,-431.25,25,50,10,2,4,4,3,2,26,10,53,310,31,99,5,15,523,,2024-06-04 18:40:12,1,0,7,7,0,0,0.96
294,,,qnr2,interview,2024-06-04 18:37:35,18.75,18.75,11.25,1.25,-41.25,281.25,18.75,281.25,-168.75,-768.75,20,10,12,4,2,3,4,2,27,4,19,168,2,73,4,13,283,,2024-06-04 18:42:18,1,0,7,7,0,0,1.87
298,,,qnr2,interview,2024-06-04 20:34:36,-53.75,-56.25,-56.25,-56.25,-56.25,-881.25,-881.25,-881.25,-806.25,-881.25,50,45,45,5,4,4,5,2,27,13,14,132,5,77,7,13,261,,2024-06-04 20:38:57,1,0,7,7,0,0,1.69
299,,,qnr2,interview,2024-06-04 20:36:39,6.25,1.25,1.25,-18.75,-28.75,18.75,-18.75,-281.25,-281.25,-506.25,15,20,10,3,3,2,3,2,27,1,60,245,39,94,4,4,447,,2024-06-04 20:44:06,1,0,7,7,0,0,1.68
305,,,qnr2,interview,2024-06-04 20:48:28,18.75,8.75,-33.75,-38.75,-28.75,-468.75,-543.75,-731.25,-731.25,-806.25,25,50,15,3,4,4,3,2,23,2,90,245,10,46,4,4,401,,2024-06-04 20:55:09,1,0,7,7,0,0,2.01
308,,,qnr2,interview,2024-06-04 21:24:15,-48.75,-48.75,-48.75,-48.75,-58.75,-843.75,-881.25,-806.25,-881.25,-881.25,25,25,10,3,3,5,4,2,29,3,63,276,38,137,5,7,529,,2024-06-04 21:33:04,1,0,7,7,0,0,1.18
310,,,qnr2,interview,2024-06-04 22:43:44,18.75,13.75,6.25,-16.25,-16.25,281.25,206.25,93.75,-18.75,-18.75,47,40,17,5,4,4,4,2,33,24,75,508,60,111,8,18,785,,2024-06-04 22:57:08,1,0,7,7,0,0,0.65
312,,,qnr2,interview,2024-06-04 22:59:13,-18.75,-43.75,-48.75,-58.75,-41.25,-768.75,-843.75,-768.75,-806.25,-881.25,30,25,50,4,3,5,4,2,27,5,98,198,20,110,5,4,440,,2024-06-04 23:06:33,1,0,7,7,0,0,1.39
316,,,qnr2,interview,2024-06-04 23:12:57,18.75,18.75,16.25,18.75,18.75,281.25,-318.75,206.25,281.25,-881.25,50,50,35,5,5,5,5,2,28,38,37,395,2,54,8,15,516,,2024-06-04 23:22:06,1,0,7,7,0,0,1.32
320,,,qnr2,interview,2024-06-05 00:47:05,18.75,-21.25,18.75,-36.25,-21.25,281.25,281.25,281.25,-168.75,-618.75,40,45,50,5,5,5,5,3,26,5,820,286,3,140,20,23,526,,2024-06-05 01:08:42,1,0,7,7,0,0,0.96
324,,,qnr2,interview,2024-06-05 08:14:51,18.75,1.25,8.75,-11.25,-13.75,281.25,168.75,56.25,-18.75,-56.25,40,40,50,3,3,4,5,1,29,4,32,311,26,92,6,8,479,,2024-06-05 08:22:50,1,0,7,7,0,0,1.28
325,,,qnr2,interview,2024-06-05 09:31:25,18.75,18.75,13.75,1.25,-1.25,-318.75,281.25,-56.25,-168.75,-468.75,50,50,40,3,4,3,4,1,27,5,238,369,9,51,5,11,512,,2024-06-05 09:42:53,1,0,7,7,0,0,1.36
